Title,ID,Year,Election_Type,Pct_Yes,Summary
An Act prohibiting the shooting of wolves and grizzly bears with the use of aircraft,Ballot Measure 2,2008,Primary,44.8,To be considered 8/26/08
Bill prohibiting trapping wolves with snares,Measure No. 9,1998,General,37.3,"This bill would prohibit a person form using a snare with the intent of trapping a wolf.  It would also prohibit a person from possessing, buying, selling or offering to sell the skin of a wolf known by the person to have been caught with a snare.  Breaking the law would be a Class A misdemeanor.
[S]"
Permits and Protection Standards for Alaska Salmon Initiative,Ballot Measure No. 1,2018,General,36.6,"This act would amend Alaska’s fish habitat permitting law and would require the Department of Fish and Game (ADF&G) to issue permits for activities and development projects that have the potential to harm fish habitat. The act would exempt existing projects, operations, or facilities that have received all state and federal permits and would also create fish and wildlife habitat-protection standards. These standards would address water quality, temperature, stream flow, and more for anadromous fish habitat. The act would provide for three types of permits for development in anadromous fish habitat. The act would require ADF&G to avoid or minimize adverse effects through mitigation measures and permit conditions. It would provide public notice on all permits and a chance to comment on major permits and would also require ADF&G to deny a permit if the proposed activity would cause substantial damage to fish habitat. The act would create criteria, time frames, and an appeals process for the permits."
Personal Consumption of Fish and Game,Initiative 80-08,1982,General,41.6,"This proposal would, for fishing, hunting, or trapping for personal consumption, prevent classification of persons on the basis of economic status, land ownership, local residency, past use or dependence on the resource, or lack of alternative resources. It would, as does existing law, also bar classifications by race or sex for any taking of fish or game. It repeals existing provisions of the Fish and Game Code which provide for, or relate to, subsistence hunting and fishing."
Prohibiting Bear Baiting or Feeding,Ballot Measure 3,2004,General,43.3,"This bill would make it illegal for a person to bait or intentionally feed a bear to hunt, photograph, or view a
bear. A person could not feed a bear on purpose or use any item or substance, including food or other edible matter to entice a bear into an area, or to stay in an area. A person who violates this law would be guilty of a Class A misdemeanor, punishable by up to one-year imprisonment and a fine of up to $10,000."
Relating to same day airborne hunting of certain animals,Ballot Measure No. 3,1996,General,58.5,"This bill would bar hunting wild wolf, wolverine, fox, or lynx the same day a person was airborne. However, the board of game could allow aerial wolf control if the Commissioner of Fish and Game declared a biological emergency, where wolves in a specific area were causing irreversible loss of a prey population. The Law wouldn't apply to people airborne the same day on regular, scheduled commercial flights. Breaking the law would be a misdemeanor. The penalty could be jail time up to one year, a fine up to $5,000, and forfeiture of aircraft or gear used in the offense.
[S]"
"An Act Prohibiting the Use of Leghold Traps, Instant Kill Body Gripping Traps, Poisons or Snares to Take Wildlife on Any Public Land, but not Affecting Hunting or Fishing",Proposition 201,1994,General,58.5,"Proposition 201 would make it illegal to use certain methods of taking ""wildlife"" on public land, including federal, state, county and municipal land. The listed devices that would be prohibited are ""any leghold trap, any instant kill body gripping design trap, or by a poison or a snare"". This proposition would not prohibit:

1. The use of a prohibited device by a governmental health department for health and safety protection and surveillance.

2. Legal hunting or fishing with authorized weapons, fishing equipment or other ""implements in hand"".

3. Falconry.

4. Using snares, traps that are not designed to kill and nets for scientific research or regulated wildlife relocation.

5. Using poisons and nets for regulated aquatic wildlife management.

6. Using traps and poisons to control non-furbearing rodents.

Arizona law defines the term ""wildlife"" as all wild mammals, wild birds and their nests and eggs, reptiles, amphibians, mollusks, crustaceans and fish, including their eggs and spawn. (ARS section 17-101.)

These restrictions and conditions would not apply to activities on private property.
[S]"
An Act Relating to Creating the Crime of Cockfighting,Proposition 201,1998,General,68.1,"Would make cockfighting a Class 5 felony for knowingly owning, possessing, keeping or training a cock for cockfighting; cause any cock to fight or injure another cock for amusement or gain, or allowing cockfighting on a person's property; make it a Class 1 misdemeanor for being present at a cockfight.
[S]"
An Act Relating to Wildlife Management and the Taking of Wildlife on Public Lands,Proposition 200,1992,General,38.0,"Proposition 200 begins with a ""Declaration of Policy"" that cites the recreational and wildlife values associated with public land in Arizona and states that ""the leghold trap, and other devices"" cannot be tolerated and that the people of Arizona ""desire to manage our wildlife and protect our property by humane and nonlethal methods.""

Proposition 200 would make it illegal to use certain methods of taking wildlife on state, county, municipal and public lands and property.  The listed devices that would be prohibited are ""any leghold trap, and conibear style trap..., any snare, explosive, poison stupefying substance, flammable or pyrotechnic device.""  This restriction, in section 2 of the proposition, should not prohibit:
1.  Regulated hunting or fishing with guns or other ""implements of hand.""
2.  Using snares, stupefying substances or nets to temporarily detain wildlife for scientific research projects or studies or for relocation.
3.  The use of poisons or stupefying substances by the state game and fish department to manage aquatic wildlife.
4.  The use of a prohibited device when a county or city board of health or local health department determines it necessary to protect human health and safety.

The protected animals would include all wild mannals, wild birds and their nests and eggs, reptiles, amphibians, mollusks, crustaceans and fish, including their eggs and spawn.

These restrictions and conditions would only apply to activities on federal, state and other public property.  They would not apply to activities on private property.
[S]"
"Conservation, Game and Fish Commission",Unknown6,1920,General,33.0,"Summary not available.
[S]"
