Title,ID,Year,Election_Type,Pct_Yes,Summary
An Act Relating to Management of Game,Ballot Measure No. 6,2000,General,53,"Voters are asked to either approve or reject a law allowing hunters to use airplanes to land and shoot wolves on the same day they fly.  The law allows any person with a hunting or trapping license to land and shoot in areas established by the Board of Game.  No additional permit may be required.  The law also allows the Alaska Department of Fish and Game to use agents, as well as employees, to engage in same day airborne shooting of wolves.  A yes vote rejects the law.  A no vote approves the law.

History:  In 1996, Alaska voters passed an initiative which banned land-and-shoot wolf hunting.  The initiative was overturned in the 2000 legislative session with the passage of SB 267.  Measure 6 seeks to overturn the Legislature's action, thus re-enacting the ban on land-and-shoot wolf hunting."
Hunting Licenses of Game Birds and Animals,Proposition 307,1912,General,67.4,
Livestock Code,Unknown3,1926,General,20.5,Summary not available.
Non-Sale of Game,Proposition 18,1914,General,49.4,"Declares the buying, selling, shipping, offering or exposing for sale, trade or shipment, of any wild game, bird, or animal (except rabbits and wild geese), protected by law and mentioned in part I, title XV, chapter I of Penal Code, or the dead body of the same, or any part thereof, a misdemeanor; prescribes punishment therefor; and declares section does not prohibit sale of wild duck from November 1st to December 1st of same year."
Branding of Livestock,Amendment 28,1912,General,49.8,Concerning the branding and making of livestock
Increasing the Tax on Oleomargarine from 10 to 15 Cents per Pound,Amendment 2,1932,General,38.2,Summary not available.
Regulation of trapping,Question 1,1934,General,32,Summary not available.
"A REFERENDUM OF PUBLIC ACT 520 OF 2012, ESTABLISHING A HUNTING  SEASON FOR WOLVES AND AUTHORIZING ANNUAL WOLF HUNTING SEASONS",Proposal 14-2,2014,General,36.1,"Public Act 21 of 2013 would allow the Natural Resources Commission (NRC) to designate certain animals as game for hunting purposes and establish the first hunting season for game animals without legislative action; Continue the NRC’s designation of wolves as game and allow the NRC to set a wolf  hunting season; Grant the Legislature sole authority to remove a species from the list of designated game animals; Eliminate the $1.00 hunting and fishing licensing fee for members of the military, whether stationed inside or outside of Michigan, subject to any lottery; Give the NRC sole authority to regulate fishing."
A Referendum on Public Act 160 of 2004 - An Act to Allow the Establishment of a Hunting Season for Mourning Doves,Proposal 06-3,2006,General,31.0,"Public Act 160 of 2004 would:
- Authorize the Natural Resources Commission to establish a hunting season for mourning doves.
- Require a mourning dove hunter to have a small game license and a $2.00 mourning dove stamp.
- Stipulate that revenue from the stamp must be split evenly between the Game and Fish Protection Fund and the Fish and Wildlife Trust Fund.
- Require the Department of Natural Resources to address responsible mourning dove hunting; management practices for the propagation of mourning doves; and participation in mourning dove hunting by youth, the elderly and the disabled in the Department's annual hunting guide."
Keep Michigan Wolves Protected,Proposal 14-1,2014,General,45.0,"Public Act 520 of 2012 would Designate wolf as game for hunting purposes and authorize the first wolf hunting season; Allow the Natural Resources Commission to schedule annual wolf hunting seasons; Provide criminal penalties for the unlawful possession or taking of wolves, but shield a person who lawfully captures or destroys a wolf from prosecution; Require a person who wishes to hunt wolves to obtain a wolf hunting license; Create a Wolf Management Advisory Council for the purpose of making nonbinding recommendations to the legislature regarding the proper management of wolves."
Bill Prohibiting Commercial Fishing on the Rogue River,Measure 5,1932,General,41.4,Not available.
Bill Regulating Fishing in Coastal Streams and Inland Waters,Measure 7,1946,General,65.9,Not Available.
Bill Restricting and Prohibiting Net Fishing Coastal Streams and Bays,Measure 6,1942,General,41.5,
Closing the Willamette River to Commercial Fishing South of Oswego,Measure 4,1918,General,57.6,
Nestucca Bay Fish Closing Bill,Measure 12,1927,Special,53.0,"Election held June 28, 1927."
Prohibiting Seine and Setnet Fishing in Rogue River and Tributaries,Measure 3,1918,General,47.5,
An Act to Allow the Hunting of Mourning Doves,Referendum Question 1,1980,General,58.5,"A ""yes"" vote approves the legislature's bill."
